고유 아이디,고유 아이디2,파일 저장명,파일 원본명,파일 섬네일명,파일 저장 경로,파일 크기,파일 종류,사용유무,파일명
138,86,20131218173907541.jpg,52-3-JNHM-물닭.jpg,thum_20131218173907541.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224150145224.jpg,78504,image/jpeg,Y,물닭
139,87,20131218174047838.gif,53-1-NSMK-물총새.gif,thum_20131218174047838.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224150310564.JPG,110808,image/gif,Y,물총새
141,89,20131218174321303.jpg,56-4-MNHM-물총새.jpg,thum_20131218174321303.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224150454866.JPG,2402294,image/jpeg,Y,물총새
142,90,20131218174419106.gif,58-1-NSMK-바다직박구리.gif,thum_20131218174419106.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224150630092.jpg,75540,image/gif,Y,바다직박구리
144,92,20131218174627392.jpg,60-1-SMNH-박새.jpg,thum_20131218174627392.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224150709809.JPG,69061,image/jpeg,Y,박새
154,102,20131218175703638.jpg,72-4-MNHM-붉은머리오목눈이.jpg,thum_20131218175703638.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224150914243.JPG,2488295,image/jpeg,Y,붉은머리오목눈이
155,103,20131218175805294.jpg,74-1-NSMK-쇠딱다구리.jpg,thum_20131218175805294.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151001796.JPG,1638892,image/jpeg,Y,쇠딱다구리
156,104,20131218175903080.jpg,76-3-JNHM-쇠딱다구리.jpg,thum_20131218175903080.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151002452.JPG,188134,image/jpeg,Y,쇠딱다구리
157,105,20131218180012963.jpg,77-4-MNHM-쇠딱다구리.jpg,thum_20131218180012963.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151002597.JPG,1979222,image/jpeg,Y,쇠딱다구리
162,110,20131218180522690.gif,82-1-NSMK-쇠박새.gif,thum_20131218180522690.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151025812.JPG,74995,image/gif,Y,쇠박새
163,111,20131218180625720.jpg,84-3-JNHM-쇠박새.jpg,thum_20131218180625720.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151110274.jpg,140178,image/jpeg,Y,쇠박새
169,117,20131218181530340.gif,90-1-NSMK-수리부엉이.gif,thum_20131218181530340.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151110421.jpg,98783,image/gif,Y,수리부엉이
171,119,20131218182520500.jpg,92-1-NSMK-어치.jpg,thum_20131218182520500.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151208765.JPG,2637455,image/jpeg,Y,어치
172,120,20131218182727715.jpg,93-1-SMNH-어치.jpg,thum_20131218182727715.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151208901.JPG,63957,image/jpeg,Y,어치
173,121,20131218182921206.jpg,94-3-JNHM-어치.jpg,thum_20131218182921206.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151231340.JPG,134280,image/jpeg,Y,어치
176,124,20131218183602519.gif,101-1-NSMK-오색딱다구리.gif,thum_20131218183602519.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151231470.JPG,90217,image/gif,Y,오색딱다구리
181,129,20131218184536682.jpg,107-1-NSMK-원앙.jpg,thum_20131218184536682.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151325818.JPG,2145372,image/jpeg,Y,원앙
186,134,20131218185459533.jpg,112-3-JNHM-중대백로.jpg,thum_20131218185459533.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151415436.JPG,48806,image/jpeg,Y,중대백로
191,139,20131218190430646.gif,117-1-NSMK-찌르레기.gif,thum_20131218190430646.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151415577.JPG,108714,image/gif,Y,찌르레기
195,143,20131218191213974.jpg,123-4-MNHM-참새.jpg,thum_20131218191213974.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224151650525.jpg,2814056,image/jpeg,Y,참새
67,23,20131205010641036.JPG,014_스테고사우루스_01.JPG,thum_20131205010641036.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224161327960.JPG,237928,image/jpeg,Y,스테고사우루스 전면
74,24,20131205010854051.JPG,004_스테고사우루스_04.JPG,thum_20131205010854051.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224161328258.JPG,349249,image/jpeg,Y,스테고사우루스 앞면
80,28,20131205012327645.JPG,004_안킬로사우루스_02.JPG,thum_20131205012327645.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224161414174.jpg,176371,image/jpeg,Y,안킬로사우루스 측면
91,39,20131218163612188.gif,3-1-NSMK-검은머리물떼새.gif,thum_20131218163612188.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224162655151.JPG,63092,image/gif,Y,검은머리물떼새
104,52,20131218165350812.jpg,22-3-JNHM-노랑턱멧새.jpg,thum_20131218165350812.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224163040815.JPG,82140,image/jpeg,Y,노랑턱멧새
110,58,20131218170612840.jpg,11-1-NSMK-까치.jpg,thum_20131218170612840.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224163041090.JPG,1976891,image/jpeg,Y,까치
115,63,20131218171037944.gif,24-1-NSMK-논병아리.gif,thum_20131218171037944.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20141230090913527.jpg,74526,image/gif,Y,논병아리
117,65,20131218171220136.jpg,26-4-MNHM-논병아리.jpg,thum_20131218171220136.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20141230091326950.jpg,1588300,image/jpeg,Y,논병아리
118,66,20131218171313557.jpg,29-4-MNHM-동고비.jpg,thum_20131218171313557.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20141230091431895.jpg,3027676,image/jpeg,Y,동고비
149,97,20131218175141275.jpg,66-1-NSMK-방울새.jpg,thum_20131218175141275.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20141230091453297.jpg,85277,image/jpeg,Y,방울새
150,98,20131218175244823.jpg,67-3-JNHM-방울새.jpg,thum_20131218175244823.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20141230091736037.jpg,73569,image/jpeg,Y,방울새
151,99,20131218175355651.jpg,68-4-MNHM-방울새.jpg,thum_20131218175355651.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20150106095329778.JPG,2557256,image/jpeg,Y,방울새
152,100,20131218175450100.jpg,69-1-SMNH-붉은머리오목눈이.jpg,thum_20131218175450100.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20150106095533570.JPG,137260,image/jpeg,Y,붉은머리오목눈이
160,108,20131218180316688.jpg,80-3-JNHM-쇠물닭.jpg,thum_20131218180316688.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20150106095847829.JPG,94904,image/jpeg,Y,쇠물닭
166,114,20131218180934965.jpg,87-1-SMNH-쇠백로.jpg,thum_20131218180934965.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20150106100019173.JPG,36896,image/jpeg,Y,쇠백로
177,125,20131218183757005.jpg,103-3-JNHM-오색딱다구리.jpg,thum_20131218183757005.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20150106100040751.JPG,153065,image/jpeg,Y,오색딱다구리
182,130,20131218184723050.jpg,108-1-SMNH-원앙.jpg,thum_20131218184723050.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20150106101317778.JPG,78158,image/jpeg,Y,원앙
192,140,20131218190623441.jpg,119-3-JNHM-찌르레기.jpg,thum_20131218190623441.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224163145908.JPG,72033,image/jpeg,Y,찌르레기
520,303,20131224141315006.JPG,106_디플로도쿠스손가락_01.JPG,thum_20131224141315006.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224171029931.JPG,45366,image/jpeg,Y,디플로도쿠스 손가락
521,304,20131224141355965.JPG,004_오비랍토르_01.JPG,thum_20131224141355965.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224171030081.JPG,370401,image/jpeg,Y,오비랍토르 측면
543,319,20131224142849664.JPG,106_에드몬토사우루스_02.JPG,thum_20131224142849664.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224171606320.JPG,84964,image/jpeg,Y,에드몬토사우루스
556,325,20131224145105579.JPG,004_알로사우루스_02.JPG,thum_20131224145105579.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224171606865.JPG,334627,image/jpeg,Y,알로사우루스 측면
